id,name,latitude,longitude,sector,subsector,assetType,sourceType,pollution_type,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,source_file,wte_class,waste_type,how_used,energy_generated,needed_hardware,wte_score,wte_confidence,wte_reason,second_best_wte_class,second_best_wte_score,classification_note
1293931,Shubra al-Khaymah 2 Subdivision,30.136703491500132,31.282776333540742,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,111.89694,1.1161819239960994e-07,t of CH4 per MJ,1002497331.25396,MJ,96153737.26511998,m^2,10.425984051871255,2024,egy_ch4_source.csv,,,,,,,,,,,
1295809,Al-Husayniyah Subdivision,30.925246238000092,32.006728357975305,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,111.27902000000002,6.10114759139249e-08,t of CH4 per MJ,1823903099.0988097,MJ,174938220.66455996,m^2,10.425984054085598,2024,egy_ch4_source.csv,,,,,,,,,,,
1293873,Mallawi Subdivision,27.775078648000118,30.813329414848262,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,109.59607,1.0142168726692178e-07,t of CH4 per MJ,1080597976.1662302,MJ,103644698.94996,m^2,10.425984031155773,2024,egy_ch4_source.csv,,,,,,,,,,,
1295947,Bani Suwayf Subdivision,29.101359308500086,31.080647075275564,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,109.42045,7.280369319396695e-08,t of CH4 per MJ,1502951913.5585198,MJ,144154441.62000003,m^2,10.425984081159244,2024,egy_ch4_source.csv,,,,,,,,,,,
1296034,Kafr ash-Shaykh Subdivision,31.20049190600014,31.017651612919565,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,108.87688,6.988311858888742e-08,t of CH4 per MJ,1557985421.92296,MJ,149432936.70876,m^2,10.425984098535276,2024,egy_ch4_source.csv,,,,,,,,,,,
1295937,Unorganized in Asyut Subdivision,27.348960500000146,31.80826686435806,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,108.77111,7.68727410246538e-08,t of CH4 per MJ,1414950326.34671,MJ,135713839.6248,m^2,10.425984043031567,2024,egy_ch4_source.csv,,,,,,,,,,,
1293793,Itsa Subdivision,29.20739078600004,30.765257623839858,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,105.83227,1.0328114138704566e-07,t of CH4 per MJ,1024700817.38731,MJ,98283366.98892003,m^2,10.42598405794166,2024,egy_ch4_source.csv,,,,,,,,,,,
1293794,Sinnuris Subdivision,29.4491081240001,30.81165095656118,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,104.65513,1.0028508537007428e-07,t of CH4 per MJ,1043576216.8801004,MJ,100093785.80303998,m^2,10.42598407591059,2024,egy_ch4_source.csv,,,,,,,,,,,
1293868,Al-Minya Subdivision,28.103211029500102,30.638603798545308,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,104.02807,9.392217175676804e-08,t of CH4 per MJ,1107598643.15535,MJ,106234446.36900005,m^2,10.425984047661542,2024,egy_ch4_source.csv,,,,,,,,,,,
1293747,Al-Mansurah Subdivision,31.05437660300009,31.466587931018744,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,102.98447000000002,6.91346341795129e-08,t of CH4 per MJ,1489621970.55377,MJ,142875911.52743998,m^2,10.425984020880112,2024,egy_ch4_source.csv,,,,,,,,,,,
1293870,Bani Mazar Subdivision,28.51437620150016,30.747750676470808,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,102.44036,9.274930958934013e-08,t of CH4 per MJ,1104486496.48788,MJ,105935947.04016,m^2,10.425984071952202,2024,egy_ch4_source.csv,,,,,,,,,,,
1293809,Zifta Subdivision,30.724956513000112,31.213314041419693,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,101.48309,6.543270182041789e-08,t of CH4 per MJ,1550953684.87952,MJ,148758493.70232004,m^2,10.425984065038508,2024,egy_ch4_source.csv,,,,,,,,,,,
1293886,Al-Khalifa Subdivision,30.008447646999997,31.29632117148314,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,99.12124000000004,5.65746363330402e-08,t of CH4 per MJ,1752043785.42531,MJ,168045890.41596004,m^2,10.425984123078033,2024,egy_ch4_source.csv,,,,,,,,,,,
